passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,distance,velocity,severity_scale,year,quarter_of_year,month,week_day,hour,minute
1,-73.980415,40.738564,-73.99948,40.73115,663,1.8055072,9.8036585,5,2016,2,6,1,0,43
1,-73.97903,40.76394,-74.00533,40.710087,2124,6.3850985,10.822201,5,2016,1,1,3,11,35
1,-73.96928,40.79778,-73.92247,40.76056,1551,5.7149806,13.264945,5,2016,2,5,7,7,54
1,-73.98105,40.74434,-73.973,40.78999,1225,5.1211615,15.049944,5,2016,1,3,5,21,45
1,-73.98265,40.76384,-74.00223,40.73299,1274,3.8061395,10.755182,5,2016,2,5,3,22,8
4,-73.99153,40.74944,-73.95654,40.77063,1128,3.7730958,12.041796,5,2016,2,5,1,11,16
2,-73.96298,40.75668,-73.984406,40.76072,1114,1.859483,6.0091014,5,2016,1,2,6,9,52
1,-73.992195,40.727226,-73.974655,40.78307,1414,6.382836,16.250502,5,2016,2,5,6,0,43
1,-73.991165,40.75556,-73.99929,40.725353,2316,3.428086,5.328631,5,2016,2,4,2,17,29
1,-73.994255,40.745804,-73.99966,40.723343,731,2.5386717,12.502351,5,2016,2,4,5,8,48
1,-74.00398,40.713013,-73.979195,40.749924,1317,4.6052012,12.588249,5,2016,2,6,2,9,55
1,-73.98037,40.74242,-73.96285,40.760635,486,2.5059261,18.562416,5,2016,1,2,1,2,23
1,-73.97954,40.75336,-73.964,40.76346,652,1.7245501,9.522056,5,2016,2,4,6,12,12
1,-73.995865,40.758812,-73.993324,40.740322,423,2.0670848,17.59221,5,2016,2,4,7,3,34
1,-73.99355,40.747173,-74.00614,40.704384,1163,4.8747926,15.089642,5,2016,2,6,7,10,36
1,-73.95523,40.777134,-73.78875,40.64147,2485,20.602575,29.846788,1,2016,2,6,6,8,15
1,-73.95658,40.77136,-73.97497,40.73279,1283,4.559525,12.793679,5,2016,1,2,1,13,27
1,-73.983765,40.749874,-73.95883,40.80096,1130,6.0561094,19.2938,5,2016,1,2,7,21,56
1,-73.958435,40.713192,-73.94954,40.680252,694,3.738742,19.39405,5,2016,2,6,2,23,7
1,-73.99422,40.713306,-73.98285,40.6923,892,2.5248492,10.189974,5,2016,2,6,2,21,57
1,-73.98212,40.75635,-73.86569,40.77099,2331,9.939443,15.350491,5,2016,1,3,4,14,10
1,-73.97094,40.76167,-73.99624,40.72537,1479,4.5645933,11.110572,5,2016,2,5,3,10,47
1,-73.99827,40.72004,-74.01036,40.67214,1048,5.423052,18.628803,5,2016,2,5,7,13,3
2,-74.0055,40.70659,-73.98582,40.7442,1022,4.4992843,15.848751,5,2016,2,5,3,19,27
1,-73.99031,40.75658,-73.87092,40.77393,2269,10.238385,16.244244,5,2016,2,4,1,14,38
2,-73.97813,40.758343,-73.99225,40.73054,1189,3.3124104,10.029165,5,2016,2,5,6,14,26
1,-73.97777,40.77408,-73.94714,40.775993,1523,2.5875235,6.1162734,5,2016,2,5,3,16,14
2,-73.98855,40.74598,-73.97089,40.793385,1450,5.4770465,13.598185,5,2016,2,4,5,21,28
2,-73.974724,40.751137,-73.954445,40.76412,1102,2.2362976,7.3055096,5,2016,2,4,5,13,27
1,-73.97509,40.758766,-73.9532,40.765068,1346,1.9722056,5.274844,5,2016,1,3,2,14,5
1,-73.979645,40.73963,-73.99473,40.723495,559,2.1987803,14.160302,5,2016,1,2,6,7,41
1,-74.01633,40.70499,-73.98211,40.77375,1478,8.171203,19.902794,5,2016,2,6,2,15,52
1,-73.98166,40.778973,-73.96981,40.79213,375,1.7707095,16.998812,5,2016,1,2,6,8,37
3,-73.96616,40.766914,-73.99218,40.72582,1217,5.0680323,14.9917145,5,2016,2,5,4,21,50
