id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2875421,2,2016-03-14 17:24,2016-03-14 17:32,1,-73.98215485,40.76793671,-73.96463013,40.76560211,N,455
id2377394,1,2016-06-12 0:43,2016-06-12 0:54,1,-73.98041534,40.73856354,-73.9994812,40.73115158,N,663
id3858529,2,2016-01-19 11:35,2016-01-19 12:10,1,-73.97902679,40.7639389,-74.00533295,40.71008682,N,2124
id3504673,2,2016-04-06 19:32,2016-04-06 19:39,1,-74.01004028,40.7199707,-74.01226807,40.70671844,N,429
id2181028,2,2016-03-26 13:30,2016-03-26 13:38,1,-73.97305298,40.79320908,-73.97292328,40.78252029,N,435
id0801584,2,2016-01-30 22:01,2016-01-30 22:09,6,-73.98285675,40.74219513,-73.99208069,40.74918365,N,443
id1813257,1,2016-06-17 22:34,2016-06-17 22:40,4,-73.96901703,40.7578392,-73.95740509,40.76589584,N,341
id1324603,2,2016-05-21 7:54,2016-05-21 8:20,1,-73.96927643,40.79777908,-73.92247009,40.76055908,N,1551
id1301050,1,2016-05-27 23:12,2016-05-27 23:16,1,-73.9994812,40.73839951,-73.98578644,40.73281479,N,255
id0012891,2,2016-03-10 21:45,2016-03-10 22:05,1,-73.98104858,40.74433899,-73.97299957,40.78998947,N,1225
id1436371,2,2016-05-10 22:08,2016-05-10 22:29,1,-73.98265076,40.76383972,-74.00222778,40.73299026,N,1274
id1299289,2,2016-05-15 11:16,2016-05-15 11:34,4,-73.99153137,40.74943924,-73.95654297,40.77062988,N,1128
id1187965,2,2016-02-19 9:52,2016-02-19 10:11,2,-73.96298218,40.75667953,-73.98440552,40.7607193,N,1114
id0799785,2,2016-06-01 20:58,2016-06-01 21:02,1,-73.95630646,40.76794052,-73.96611023,40.76300049,N,260
id2900608,2,2016-05-27 0:43,2016-05-27 1:07,1,-73.99219513,40.72722626,-73.97465515,40.78306961,N,1414
id3319787,1,2016-05-16 15:29,2016-05-16 15:32,1,-73.955513,40.76859283,-73.94876099,40.77154541,N,211
id3379579,2,2016-04-11 17:29,2016-04-11 18:08,1,-73.99116516,40.75556183,-73.99929047,40.72535324,N,2316
id1154431,1,2016-04-14 8:48,2016-04-14 9:00,1,-73.99425507,40.74580383,-73.99965668,40.7233429,N,731
id3552682,1,2016-06-27 9:55,2016-06-27 10:17,1,-74.00398254,40.7130127,-73.97919464,40.74992371,N,1317
id3390316,2,2016-06-05 13:47,2016-06-05 13:51,1,-73.98388672,40.73819733,-73.99120331,40.72787094,N,251
id2070428,1,2016-02-28 2:23,2016-02-28 2:31,1,-73.98036957,40.7424202,-73.96285248,40.76063538,N,486
id0809232,2,2016-04-01 12:12,2016-04-01 12:23,1,-73.97953796,40.75336075,-73.96399689,40.76345825,N,652
id2352683,1,2016-04-09 3:34,2016-04-09 3:41,1,-73.99586487,40.75881195,-73.99332428,40.74032211,N,423
id1603037,1,2016-06-25 10:36,2016-06-25 10:55,1,-73.99355316,40.74717331,-74.00614166,40.70438385,N,1163
id3321406,2,2016-06-03 8:15,2016-06-03 8:56,1,-73.95523071,40.77713394,-73.78874969,40.64147186,N,2485
id0129640,2,2016-02-14 13:27,2016-02-14 13:49,1,-73.95658112,40.77135849,-73.97496796,40.7327919,N,1283
id3587298,1,2016-02-27 21:56,2016-02-27 22:14,1,-73.98376465,40.74987411,-73.95883179,40.80096054,N,1130
id2104175,1,2016-06-20 23:07,2016-06-20 23:18,1,-73.95843506,40.71319199,-73.94953918,40.68025208,N,694
id3973319,2,2016-06-13 21:57,2016-06-13 22:12,1,-73.99421692,40.71330643,-73.98284912,40.69229889,N,892
id1410897,1,2016-03-23 14:10,2016-03-23 14:49,1,-73.9821167,40.75635147,-73.86569214,40.77098846,N,2331
id0266980,1,2016-05-17 10:47,2016-05-17 11:12,1,-73.97093964,40.76166916,-73.99623871,40.7253685,N,1479
id2822549,2,2016-05-21 13:03,2016-05-21 13:20,1,-73.99826813,40.72003937,-74.01036072,40.67213821,N,1048
id3075902,2,2016-05-10 19:27,2016-05-10 19:44,2,-74.00550079,40.70658875,-73.98581696,40.74420166,N,1022
id0023813,1,2016-04-17 14:38,2016-04-17 15:16,1,-73.99031067,40.75658035,-73.87091827,40.7739296,N,2269
id3970352,1,2016-01-09 12:55,2016-01-09 13:07,1,-74.00899506,40.71258926,-73.99863434,40.72280884,N,707
id3361153,1,2016-03-11 7:11,2016-03-11 7:20,1,-73.99456024,40.75052643,-73.97850037,40.75619125,N,526
id1870624,1,2016-01-05 15:29,2016-01-05 15:39,3,-73.9515152,40.77024841,-73.95852661,40.76151657,N,553
id2403238,1,2016-06-23 23:00,2016-06-23 23:04,1,-73.98806763,40.72808075,-73.98075104,40.72146988,N,277
id3323083,1,2016-05-27 14:26,2016-05-27 14:46,2,-73.97812653,40.75834274,-73.99224854,40.73054123,N,1189
id3720663,1,2016-05-10 16:14,2016-05-10 16:40,1,-73.97776794,40.77407837,-73.94714355,40.77599335,N,1523
id0578558,1,2016-04-21 21:28,2016-04-21 21:52,2,-73.98854828,40.74597931,-73.97088623,40.79338455,N,1450
id2573056,2,2016-04-14 13:27,2016-04-14 13:46,2,-73.97472382,40.75113678,-73.95444489,40.76411819,N,1102
id2129090,1,2016-03-14 14:05,2016-03-14 14:28,1,-73.97509003,40.75876617,-73.95320129,40.76506805,N,1346
id3961107,1,2016-03-19 1:12,2016-03-19 1:18,1,-73.97647095,40.73978043,-73.98066711,40.72996521,N,363
id3326491,2,2016-02-12 7:41,2016-02-12 7:51,1,-73.97964478,40.73963165,-73.99472809,40.72349548,N,559
id0718344,2,2016-06-13 15:52,2016-06-13 16:16,1,-74.0163269,40.70499039,-73.98210907,40.77375031,N,1478
id3188770,1,2016-01-03 16:59,2016-01-03 17:04,1,-73.98513794,40.73219299,-73.98963928,40.72087479,N,348
id1956279,2,2016-02-26 8:37,2016-02-26 8:43,1,-73.98165894,40.77897263,-73.96981049,40.79212952,N,375
id2391523,1,2016-05-18 21:50,2016-05-18 22:10,3,-73.96616364,40.76691437,-73.99217987,40.72581863,N,1217
id2662609,1,2016-04-10 19:11,2016-04-10 19:25,1,-73.96546936,40.76584625,-73.96095276,40.79692841,N,876
id2067879,2,2016-01-19 23:19,2016-01-19 23:44,1,-73.99681854,40.75286102,-73.80900574,40.81687546,N,1557
id1939961,1,2016-05-07 13:18,2016-05-07 13:46,1,-73.97725677,40.77424622,-73.99001312,40.73265457,N,1647
id0675800,2,2016-02-15 9:25,2016-02-15 9:35,6,-73.97775269,40.75463104,-74.00167847,40.75642014,N,634
id2569332,1,2016-04-13 14:24,2016-04-13 14:30,1,-73.96872711,40.78643799,-73.960495,40.77815247,N,365
id0526266,2,2016-05-15 9:42,2016-05-15 9:56,1,-73.93488312,40.80101013,-73.98300171,40.72256851,N,819
id3827863,2,2016-04-19 11:29,2016-04-19 12:27,3,-73.79289246,40.65787888,-73.80918884,40.69018173,N,3528
id1388344,2,2016-01-02 15:41,2016-01-02 16:01,2,-73.98233795,40.76280975,-73.98285675,40.7487793,N,1228
id1079955,1,2016-04-22 11:28,2016-04-22 12:11,1,-73.99485016,40.71878052,-73.9834137,40.7588501,N,2607
id0256505,1,2016-03-14 15:04,2016-03-14 15:16,1,-73.99448395,40.74508667,-73.99899292,40.72270966,N,695
id1530524,1,2016-03-19 17:41,2016-03-19 17:48,1,-73.95342255,40.76765823,-73.98031616,40.73778152,N,472
id1674872,1,2016-02-29 2:46,2016-02-29 2:55,1,-73.95185089,40.71406937,-73.9679718,40.6887207,N,526
id1040444,2,2016-01-07 17:01,2016-01-07 17:13,4,-73.9769516,40.75202179,-74.00121307,40.75161362,N,721
id1674996,1,2016-05-13 12:32,2016-05-13 12:40,1,-74.00180054,40.72613525,-74.00715637,40.74080658,N,512
id1965939,1,2016-05-24 12:16,2016-05-24 12:28,1,-73.99409485,40.7615509,-73.9806366,40.78963852,N,720
id0442192,1,2016-04-10 16:07,2016-04-10 16:10,1,-74.00632477,40.73339081,-74.00000763,40.74325562,N,174
id0515898,2,2016-05-21 17:38,2016-05-21 17:46,1,-74.00257111,40.73931122,-73.99188232,40.74499893,N,478
id1182327,2,2016-02-29 11:22,2016-02-29 11:35,1,-73.94830322,40.77443695,-73.96370697,40.75548553,N,788
id3913101,1,2016-06-25 22:05,2016-06-25 22:22,2,-74.00141144,40.76143265,-73.92462921,40.86402893,N,1003
id1680350,1,2016-03-18 20:56,2016-03-18 20:59,1,-74.00298309,40.72331238,-74.0015564,40.72882462,N,215
id0913838,2,2016-02-03 16:22,2016-02-03 16:37,5,-73.97833252,40.75407028,-73.95973206,40.77275848,N,870
id3896508,2,2016-06-07 22:32,2016-06-07 22:46,1,-73.86338043,40.76988983,-73.83712769,40.72135925,N,814
id2846400,2,2016-03-16 20:13,2016-03-16 20:23,1,-73.99725342,40.71796036,-73.99925232,40.73001862,N,637
id1510700,2,2016-02-20 21:58,2016-02-20 21:59,1,-73.95839691,40.77262878,-73.95513153,40.7742424,N,57
id0813128,2,2016-02-20 18:57,2016-02-20 19:07,2,-73.99120331,40.74955368,-73.97919464,40.74630737,N,589
id1158195,1,2016-03-24 17:58,2016-03-24 18:36,1,-73.99232483,40.73072052,-73.87250519,40.77449799,N,2275
id0959273,1,2016-03-20 23:16,2016-03-20 23:27,1,-73.9888382,40.76890182,-73.95553589,40.77174377,N,647
id0739660,1,2016-05-16 13:07,2016-05-16 13:34,3,-73.96472168,40.80660629,-73.98457336,40.76067734,N,1628
id3769871,1,2016-06-17 17:32,2016-06-17 18:11,1,-73.94314575,40.78963089,-73.98947906,40.76276398,N,2337
id1818021,1,2016-03-23 0:34,2016-03-23 0:45,1,-74.01116943,40.70360565,-74.00569153,40.74135971,N,674
id0982165,2,2016-04-12 21:29,2016-04-12 21:49,1,-73.98031616,40.7588501,-74.01013947,40.70508194,N,1190
id1519515,2,2016-06-11 12:52,2016-06-11 13:12,1,-73.95049286,40.77126694,-74.00124359,40.74649048,N,1191
id1082443,2,2016-02-25 14:56,2016-02-25 15:09,1,-73.98712158,40.76847458,-73.97582245,40.75971222,N,785
id2934884,2,2016-01-07 19:32,2016-01-07 19:40,1,-73.98638916,40.75661469,-73.99979401,40.76163101,N,520
id1205949,1,2016-06-05 18:43,2016-06-05 18:46,1,-73.96260834,40.75882721,-73.95419312,40.76405334,N,218
id2592310,2,2016-06-13 7:20,2016-06-13 7:24,1,-73.99041748,40.75688171,-73.98197937,40.75999069,N,222
id0883711,1,2016-01-16 21:22,2016-01-16 21:42,1,-73.99363708,40.7342186,-73.96146393,40.76929855,N,1204
id0283075,1,2016-04-06 23:42,2016-04-07 0:12,1,-73.78247833,40.64464569,-73.98112488,40.72088623,N,1782
id2107497,1,2016-05-13 20:46,2016-05-13 21:06,2,-74.01395416,40.7128334,-73.99755096,40.7180748,N,1174
id2090852,2,2016-01-28 11:25,2016-01-28 11:30,1,-73.96882629,40.75419617,-73.97275543,40.74661255,N,336
id1297351,2,2016-06-24 14:24,2016-06-24 14:32,1,-74.00328827,40.72697067,-73.99330139,40.73912048,N,470
id0667605,2,2016-05-27 16:17,2016-05-27 16:23,1,-73.99105835,40.73957062,-74.00610352,40.73455048,N,346
id1476107,1,2016-05-22 15:41,2016-05-22 15:48,1,-73.9668808,40.78868103,-73.96282196,40.77572632,N,419
id0673727,2,2016-05-18 19:15,2016-05-18 19:44,1,-73.96167755,40.77596664,-73.85739136,40.733284,N,1762
id2030290,1,2016-03-31 11:33,2016-03-31 12:12,3,-73.86431885,40.7698288,-73.98586273,40.760952,N,2341
id3770790,1,2016-02-13 13:12,2016-02-13 13:19,1,-73.99223328,40.74428177,-74.00823212,40.74882507,N,406
id3025098,2,2016-01-20 19:21,2016-01-20 19:31,1,-73.97698212,40.75030136,-73.99912262,40.73950958,N,596
id3333094,2,2016-06-02 23:34,2016-06-02 23:41,1,-73.97346497,40.75522995,-73.97736359,40.74282074,N,435
id2228940,1,2016-02-04 13:22,2016-02-04 13:40,1,-73.98186493,40.7587738,-73.97022247,40.78414154,N,1108
id2102594,1,2016-03-30 16:14,2016-03-30 17:01,1,-73.7898407,40.6435585,-73.97066498,40.68727875,N,2824
id0010677,1,2016-04-29 10:40,2016-04-29 10:53,2,-73.99197388,40.74999619,-73.97788239,40.75489426,N,769
id3194108,1,2016-06-01 11:48,2016-06-01 12:19,1,-74.00502777,40.74645233,-73.97200775,40.74578094,N,1826
id2063827,1,2016-05-18 21:09,2016-05-18 21:18,1,-73.98141479,40.75673294,-73.9705658,40.75569534,N,593
id0105610,1,2016-02-19 20:01,2016-02-19 20:35,3,-73.78971863,40.64370728,-73.97869873,40.75034332,N,2065
id3502065,1,2016-03-15 21:03,2016-03-15 21:14,1,-73.97401428,40.75715256,-73.94973755,40.77709198,N,653
id3508035,2,2016-06-06 20:13,2016-06-06 20:45,6,-73.78813171,40.64146042,-73.97177124,40.74940872,N,1884
id3236276,2,2016-01-27 8:07,2016-01-27 8:24,1,-73.95603943,40.76760864,-73.96820068,40.78668976,N,989
id3277902,1,2016-04-09 15:04,2016-04-09 15:11,1,-73.97316742,40.75569916,-73.98865509,40.7369957,N,419
id2335059,1,2016-05-27 11:10,2016-05-27 11:26,4,-73.97580719,40.76062775,-73.98778534,40.75492096,N,962
id2300865,1,2016-05-10 10:31,2016-05-10 10:35,1,-73.96588135,40.76284027,-73.96099091,40.77087402,N,243
id3962434,2,2016-01-10 8:45,2016-01-10 8:51,2,-73.98927307,40.7564888,-74.00279999,40.76050186,N,373
id2677672,1,2016-02-18 17:47,2016-02-18 17:54,2,-73.945755,40.77368164,-73.95343018,40.78107834,N,384
id0589360,1,2016-05-22 17:34,2016-05-22 18:20,1,-73.86367798,40.76977158,-74.00721741,40.70489502,N,2753
id0970832,1,2016-03-12 20:39,2016-03-12 21:05,1,-74.00824738,40.7473526,-73.97944641,40.71875,N,1561
id0694434,1,2016-01-26 23:40,2016-01-26 23:48,1,-74.00679779,40.70607376,-73.97402191,40.74407578,N,505
id3729136,2,2016-01-30 15:15,2016-01-30 15:30,2,-73.97727203,40.75735092,-74.00243378,40.7344017,N,900
id2358953,2,2016-06-27 0:31,2016-06-27 1:06,1,-73.87081909,40.77373886,-73.85749817,41.01781082,N,2116
